localDate,DaysToLoad,instrument,barValue,barType,swingStrength,lookBackSettings,Enddate,lookbackDays
2020061719,187,ES 06-20,3 Minute,3
CurrentBar,Time,Open,High,Low,Close,TrendPlot,BarsToNextSignal,BarsFromPreviousSignal,SignalPattern,BuySignalStopLine,SellSignalStopLine,DotPrice,OpenPrice
3,5/3/2020 3:12:00 PM,2792.25,2795,2790,2795,2793.46308312274,0,0,0,0,0,0,0
4,5/3/2020 3:15:00 PM,2795,2797,2792.75,2793,2793.48848670749,0,0,0,0,0,0,0
5,5/3/2020 3:18:00 PM,2793.25,2794,2791.25,2791.75,2793.48041254703,0,0,0,0,0,0,0
6,5/3/2020 3:21:00 PM,2791.75,2791.75,2787.5,2790.25,2793.45181068675,0,0,0,0,0,0,0
7,5/3/2020 3:24:00 PM,2790,2790.25,2787.5,2789,2793.39888819606,0,0,0,0,0,0,0
8,5/3/2020 3:27:00 PM,2788.75,2789.5,2786,2788.25,2793.32617930026,0,0,0,0,0,0,0
9,5/3/2020 3:30:00 PM,2788.25,2788.5,2781.25,2784.25,2793.24227551017,0,0,0,0,0,0,0
10,5/3/2020 3:33:00 PM,2784.25,2787.25,2783,2783.5,2793.09364285711,0,0,0,0,0,0,0
11,5/3/2020 3:36:00 PM,2783.75,2786.5,2783,2783.75,2792.9350702479,0,0,0,0,0,0,0
12,5/3/2020 3:39:00 PM,2784,2784.75,2781.25,2782,2792.78325090496,0,0,0,0,0,0,0
13,5/3/2020 3:42:00 PM,2781.75,2782.75,2778.25,2781,2792.60501535281,0,0,0,0,0,0,0
14,5/3/2020 3:45:00 PM,2780.75,2781,2776.25,2776.5,2792.41319691723,0,0,0,0,0,0,0
15,5/3/2020 3:48:00 PM,2776.5,2780.5,2776.25,2778.75,2792.15016886901,0,0,0,0,0,0,0
16,5/3/2020 3:51:00 PM,2778.75,2780.5,2776.5,2778.25,2791.92867847448,0,0,0,0,0,0,0
17,5/3/2020 3:54:00 PM,2778.25,2779.5,2776.5,2779.5,2791.7025846154,0,0,0,0,0,0,0
18,5/3/2020 3:57:00 PM,2779.25,2780,2777.75,2779,2791.50088900192,0,0,0,0,0,0,0
19,5/3/2020 4:00:00 PM,2779.25,2781.75,2778.5,2781,2791.29426273743,0,0,0,0,0,0,0
20,5/3/2020 4:03:00 PM,2781.25,2785,2781.25,2784,2791.12410963433,0,0,0,0,0,0,0
21,5/3/2020 4:06:00 PM,2783.75,2784,2780,2782.25,2791.00635575608,0,0,0,0,0,0,0
22,5/3/2020 4:09:00 PM,2782.25,2782.75,2776.25,2780,2790.86162260308,0,0,0,0,0,0,0
23,5/3/2020 4:12:00 PM,2780,2783.75,2779,2782,2790.68209165097,0,0,0,0,0,0,0
24,5/3/2020 4:15:00 PM,2782.25,2784.5,2780.25,2783.5,2790.53858600384,0,0,0,0,0,0,0
25,5/3/2020 4:18:00 PM,2783.5,2786,2782.5,2785.25,2790.42224573932,0,0,0,0,0,0,0
26,5/3/2020 4:21:00 PM,2785.25,2785.75,2783.25,2784.5,2790.33675407421,0,0,0,0,0,0,0
27,5/3/2020 4:24:00 PM,2784.5,2784.75,2782.75,2784.25,2790.24027880025,0,0,0,0,0,0,0
28,5/3/2020 4:27:00 PM,2784,2784.75,2783.25,2783.75,2790.14126592752,0,0,0,0,0,0,0
29,5/3/2020 4:30:00 PM,2783.5,2786,2783.5,2784.25,2790.03562516839,0,0,0,0,0,0,0
30,5/3/2020 4:33:00 PM,2784.5,2784.5,2780,2781.25,2789.93999500031,0,0,0,0,0,0,0
31,5/3/2020 4:36:00 PM,2781.25,2781.25,2776.5,2776.5,2789.79635871932,0,0,0,0,0,0,0
32,5/3/2020 4:39:00 PM,2776.5,2778,2775,2775.25,2789.57658419503,0,0,0,0,0,0,0
33,5/3/2020 4:42:00 PM,2775.5,2778.75,2773,2774.75,2789.33978115049,0,0,0,0,0,0,0
34,5/3/2020 4:45:00 PM,2774.75,2776.75,2773.75,2775.25,2789.09862774304,0,0,0,0,0,0,0
35,5/3/2020 4:48:00 PM,2775,2775.25,2773,2775.25,2788.86972480514,0,0,0,0,0,0,0
36,5/3/2020 4:51:00 PM,2775.25,2776.75,2774.75,2775.5,2788.64460538687,0,0,0,0,0,0,0
37,5/3/2020 4:54:00 PM,2775.5,2776.75,2775.5,2776,2788.42733918213,0,0,0,0,0,0,0
38,5/3/2020 4:57:00 PM,2776,2778.25,2775,2777.25,2788.22192861714,0,0,0,0,0,0,0
39,5/3/2020 5:00:00 PM,2777.25,2777.5,2776,2777.25,2788.04057442512,0,0,0,0,0,0,0
40,5/3/2020 5:03:00 PM,2777.25,2782,2777.25,2780.5,2787.86221782305,0,0,0,0,0,0,0
41,5/3/2020 5:06:00 PM,2780.5,2780.75,2777.5,2780.5,2787.74052827226,0,0,0,0,0,0,0
42,5/3/2020 5:09:00 PM,2780.5,2781,2778.75,2779.25,2787.620850119,0,0,0,0,0,0,0
43,5/3/2020 5:12:00 PM,2779,2782,2778,2780.75,2787.48248896,0,0,0,0,0,0,0
44,5/3/2020 5:15:00 PM,2780.5,2781.25,2779.25,2780,2787.37120815075,0,0,0,0,0,0,0
45,5/3/2020 5:18:00 PM,2780,2783.75,2780,2780.25,2787.2493699995,0,0,0,0,0,0,0
46,5/3/2020 5:21:00 PM,2780.25,2781.5,2780,2780.75,2787.13367793339,0,0,0,0,0,0,0
47,5/3/2020 5:24:00 PM,2781,2783.75,2781,2782,2787.02816259565,0,0,0,0,0,0,0
48,5/3/2020 5:27:00 PM,2782.25,2782.5,2780.75,2782,2786.9450524701,0,0,0,0,0,0,0
49,5/3/2020 5:30:00 PM,2782.25,2782.75,2778,2779.25,2786.86331606564,0,0,0,0,0,0,0
50,5/3/2020 5:33:00 PM,2779.25,2783,2778.5,2781.75,2786.73747613067,0,0,0,0,0,0,0
51,5/3/2020 5:36:00 PM,2781.75,2782,2777.25,2778,2786.65503850867,0,0,0,0,0,0,0
52,5/3/2020 5:39:00 PM,2778.25,2780,2777,2780,2786.51198002093,0,0,0,0,0,0,0
53,5/3/2020 5:42:00 PM,2779.75,2782.75,2778.5,2782.5,2786.40434398752,0,0,0,0,0,0,0
54,5/3/2020 5:45:00 PM,2782.75,2783,2780.5,2781.5,2786.33980937616,0,0,0,0,0,0,0
55,5/3/2020 5:48:00 PM,2781.75,2783,2777.75,2778.25,2786.25981252697,0,0,0,0,0,0,0
56,5/3/2020 5:51:00 PM,2778,2779,2773,2773.5,2786.12741893148,0,0,0,0,0,0,0
57,5/3/2020 5:54:00 PM,2773.5,2774.75,2772,2773.75,2785.91870126319,0,0,0,0,0,0,0
58,5/3/2020 5:57:00 PM,2773.75,2774,2771,2773.25,2785.71756570512,0,0,0,0,0,0,0
59,5/3/2020 6:00:00 PM,2773.25,2776.25,2772,2775.75,2785.51149023892,0,0,0,0,0,0,0
60,5/3/2020 6:03:00 PM,2775.75,2780.25,2775.5,2779.5,2785.35014329282,0,0,0,0,0,0,0
61,5/3/2020 6:06:00 PM,2779.5,2781.25,2778.5,2780.5,2785.25344670947,0,0,0,0,0,0,0
62,5/3/2020 6:09:00 PM,2780.75,2783.5,2780.75,2782.75,2785.17487734237,0,0,0,0,0,0,0
63,5/3/2020 6:12:00 PM,2782.5,2783,2779.5,2780,2785.13479672514,0,0,0,0,0,0,0
64,5/3/2020 6:15:00 PM,2780.25,2783.75,2778.25,2782.75,2785.049924052,0,0,0,0,0,0,0
65,5/3/2020 6:18:00 PM,2782.5,2786.5,2781,2785,2785.01190877841,0,0,0,0,0,0,0
66,5/3/2020 6:21:00 PM,2785,2789.75,2783.75,2789.75,2785.0117119391,0,0,0,0,0,0,0
67,5/3/2020 6:24:00 PM,2789.5,2789.5,2786,2786.5,2785.09003075003,0,0,0,0,0,0,0
68,5/3/2020 6:27:00 PM,2786.25,2788.25,2785.25,2786,2785.11333602689,0,0,0,0,0,0,0
69,5/3/2020 6:30:00 PM,2785.75,2789.25,2785.75,2789.25,2785.12799162975,0,0,0,0,0,0,0
70,5/3/2020 6:33:00 PM,2789.25,2790,2787.25,2789.25,2785.1961239995,0,0,0,0,0,0,0
71,5/3/2020 6:36:00 PM,2789.5,2790,2786.5,2788.25,2785.26313021439,0,0,0,0,0,0,0
72,5/3/2020 6:39:00 PM,2788.25,2790,2788,2789,2785.31249996291,0,0,0,0,0,0,0
73,5/3/2020 6:42:00 PM,2789,2790,2787.75,2789.75,2785.37345037675,0,0,0,0,0,0,0
74,5/3/2020 6:45:00 PM,2789.75,2789.75,2787.25,2788.5,2785.44579003994,0,0,0,0,0,0,0
75,5/3/2020 6:48:00 PM,2788.5,2789.25,2786,2786,2785.4962728492,0,0,0,0,0,0,0
76,5/3/2020 6:51:00 PM,2786.25,2790,2785.5,2789.75,2785.50459891781,0,0,0,0,0,0,0
77,5/3/2020 6:54:00 PM,2789.75,2794,2789,2791.75,2785.57477083652,0,0,0,0,0,0,0
78,5/3/2020 6:57:00 PM,2791.5,2792.75,2790.75,2792.75,2785.67684074005,0,0,0,0,0,0,0
79,5/3/2020 7:00:00 PM,2792.5,2795.25,2792,2793.75,2785.79375246335,0,0,0,0,0,0,0
80,5/3/2020 7:03:00 PM,2793.5,2793.5,2791.5,2792.5,2785.9252606871,0,0,0,0,0,0,0
81,5/3/2020 7:06:00 PM,2792.5,2793,2791.5,2792.25,2786.03393406417,0,0,0,0,0,0,0
82,5/3/2020 7:09:00 PM,2792.25,2792.75,2790.75,2792,2786.13667895568,0,0,0,0,0,0,0
83,5/3/2020 7:12:00 PM,2791.75,2792.75,2789.5,2789.75,2786.2335933531,0,0,0,0,0,0,0
84,5/3/2020 7:15:00 PM,2789.75,2790.25,2788,2789.25,2786.29171577702,0,0,0,0,0,0,0
85,5/3/2020 7:18:00 PM,2789.5,2792.5,2788,2791.75,2786.3406130369,0,0,0,0,0,0,0
86,5/3/2020 7:21:00 PM,2791.5,2793,2790.75,2792.25,2786.43002439166,0,0,0,0,0,0,0
87,5/3/2020 7:24:00 PM,2792.5,2792.75,2790,2791.5,2786.5262223356,0,0,0,0,0,0,0
88,5/3/2020 7:27:00 PM,2791.5,2793.5,2790.5,2792.75,2786.60843353667,0,0,0,0,0,0,0
89,5/3/2020 7:30:00 PM,2792.75,2793,2791.25,2793,2786.70994703193,0,0,0,0,0,0,0
90,5/3/2020 7:33:00 PM,2792.75,2793,2792.25,2792.75,2786.81391484958,0,0,0,0,0,0,0
91,5/3/2020 7:36:00 PM,2792.75,2793,2792.5,2793,2786.91203195951,0,0,0,0,0,0,0
92,5/3/2020 7:39:00 PM,2792.75,2793.5,2791.75,2793.25,2787.01265953043,0,0,0,0,0,0,0
93,5/3/2020 7:42:00 PM,2793.25,2795.25,2793.25,2795,2787.11575606711,0,0,0,0,0,0,0
94,5/3/2020 7:45:00 PM,2795,2796.75,2794.25,2795,2787.24607414865,0,0,0,0,0,0,0
95,5/3/2020 7:48:00 PM,2795,2795,2794,2794.5,2787.37423821231,0,0,0,0,0,0,0
96,5/3/2020 7:51:00 PM,2794.5,2795.5,2794,2795.5,2787.49201939888,0,0,0,0,0,0,0
97,5/3/2020 7:54:00 PM,2795.5,2795.75,2794,2794.75,2787.6243827146,0,0,0,0,0,0,0
98,5/3/2020 7:57:00 PM,2794.5,2794.75,2793.5,2794.75,2787.74216151271,0,0,0,0,0,0,0
99,5/3/2020 8:00:00 PM,2794.5,2795.5,2794.25,2795,2787.85799355382,0,0,0,0,0,0,0
100,5/3/2020 8:03:00 PM,2795,2798,2795,2796.5,2787.97604324715,0,0,0,0,0,0,0
101,5/3/2020 8:06:00 PM,2796.25,2798,2796,2797.75,2788.1169350943,0,0,0,0,0,0,0
102,5/3/2020 8:09:00 PM,2797.75,2803.5,2797.5,2801.5,2788.27615930762,0,0,0,0,0,0,0
103,5/3/2020 8:12:00 PM,2801.25,2801.25,2798.75,2800,2788.49473518683,0,0,0,0,0,0,0
104,5/3/2020 8:15:00 PM,2799.75,2800.25,2798.75,2799.5,2788.68490485317,0,0,0,0,0,0,0
105,5/3/2020 8:18:00 PM,2799.5,2800.25,2798.75,2799.75,2788.86366675642,0,0,0,0,0,0,0
106,5/3/2020 8:21:00 PM,2799.75,2799.75,2798,2799,2789.04360614887,0,0,0,0,0,0,0
107,5/3/2020 8:24:00 PM,2798.75,2799,2795.75,2798.25,2789.20817464228,0,0,0,0,0,0,0
108,5/3/2020 8:27:00 PM,2798,2801,2797.5,2799.75,2789.35762630109,0,0,0,0,0,0,0
109,5/3/2020 8:30:00 PM,2799.75,2800,2798,2798.75,2789.52940107297,0,0,0,0,0,0,0
110,5/3/2020 8:33:00 PM,2798.5,2800,2798,2798.75,2789.68180766681,0,0,0,0,0,0,0
111,5/3/2020 8:36:00 PM,2799,2800.25,2798.75,2799.75,2789.83169514339,0,0,0,0,0,0,0
112,5/3/2020 8:39:00 PM,2799.5,2801.25,2799.5,2800.5,2789.99563406664,0,0,0,0,0,0,0
113,5/3/2020 8:42:00 PM,2800.5,2803,2800.5,2802.5,2790.16925994983,0,0,0,0,0,0,0
114,5/3/2020 8:45:00 PM,2802.25,2804,2801,2803.25,2790.37307383496,0,0,0,0,0,0,0
115,5/3/2020 8:48:00 PM,2803.25,2805,2802.75,2804.75,2790.58591558975,0,0,0,0,0,0,0
116,5/3/2020 8:51:00 PM,2804.75,2805.5,2802.5,2803.75,2790.82003268744,0,0,0,0,0,0,0
117,5/3/2020 8:54:00 PM,2803.75,2806,2803.25,2805,2791.03375115542,0,0,0,0,0,0,0
118,5/3/2020 8:57:00 PM,2805.25,2806.25,2805,2805.5,2791.26459824376,0,0,0,0,0,0,0
119,5/3/2020 9:00:00 PM,2805.25,2806.5,2805,2806.5,2791.49989414056,0,0,0,0,0,0,0
120,5/3/2020 9:03:00 PM,2806.5,2806.5,2805,2805,2791.7478297746,0,0,0,0,0,0,0
121,5/3/2020 9:06:00 PM,2805,2806.5,2804.5,2806.5,2791.96687391056,0,0,0,0,0,0,0
122,5/3/2020 9:09:00 PM,2806.5,2808,2805,2805.75,2792.20709087071,0,0,0,0,0,0,0
123,5/3/2020 9:12:00 PM,2806,2806,2805,2805.25,2792.43094060839,0,0,0,0,0,0,0
124,5/3/2020 9:15:00 PM,2805.25,2805.5,2803.5,2803.75,2792.64282588759,0,0,0,0,0,0,0
