localDate,instrument,barValue,barType,daysLoaded,swingStrength,lookBackSettings
2020061821,ES 06-20,3,3 Minute,28
CurrentBar,Time,Open,High,Low,Close,TrendPlot,BarsToNextSignal,BarsFromPreviousSignal,SignalPattern,BuySignalStopLine,SellSignalStopLine,DotPrice,OpenPrice
4,5/20/2020 3:15:00 PM,2969.75,2970,2967.5,2968.25,2972.88186379131,0,0,0,0,0,0,0
5,5/20/2020 3:18:00 PM,2968.25,2969.75,2968.25,2969.75,2972.80530405922,0,0,0,0,0,0,0
6,5/20/2020 3:21:00 PM,2969.75,2970.5,2967,2967.25,2972.75480316568,0,0,0,0,0,0,0
7,5/20/2020 3:24:00 PM,2967.5,2968.25,2967,2968.25,2972.66381468361,0,0,0,0,0,0,0
8,5/20/2020 3:27:00 PM,2968,2968.25,2967.5,2967.75,2972.590859069,0,0,0,0,0,0,0
9,5/20/2020 3:30:00 PM,2968,2968.5,2967,2967.25,2972.51084486951,0,0,0,0,0,0,0
10,5/20/2020 3:33:00 PM,2967.5,2969.5,2967.25,2969.5,2972.42388875597,0,0,0,0,0,0,0
11,5/20/2020 3:36:00 PM,2969.25,2970.25,2969.25,2970.25,2972.3755600162,0,0,0,0,0,0,0
12,5/20/2020 3:39:00 PM,2970,2970.25,2969,2970,2972.34042679279,0,0,0,0,0,0,0
13,5/20/2020 3:42:00 PM,2969.75,2971.75,2969.75,2970.75,2972.30174205242,0,0,0,0,0,0,0
14,5/20/2020 3:45:00 PM,2970.5,2971,2967.25,2967.5,2972.27609342345,0,0,0,0,0,0,0
15,5/20/2020 3:48:00 PM,2967.5,2968.5,2967,2968.25,2972.1971497305,0,0,0,0,0,0,0
16,5/20/2020 3:51:00 PM,2968.5,2969.25,2968.25,2969,2972.13190758619,0,0,0,0,0,0,0
17,5/20/2020 3:54:00 PM,2969,2969.25,2968.5,2968.75,2972.08014051865,0,0,0,0,0,0,0
18,5/20/2020 3:57:00 PM,2969,2969,2967,2967.25,2972.02509687372,0,0,0,0,0,0,0
19,5/20/2020 4:00:00 PM,2967,2967.75,2966.25,2966.75,2971.94616965266,0,0,0,0,0,0,0
20,5/20/2020 4:03:00 PM,2967,2968,2966.75,2967.5,2971.86028255097,0,0,0,0,0,0,0
21,5/20/2020 4:06:00 PM,2967.75,2967.75,2966.75,2967.75,2971.788211765,0,0,0,0,0,0,0
22,5/20/2020 4:09:00 PM,2968,2968,2966.75,2967,2971.7214644631,0,0,0,0,0,0,0
23,5/20/2020 4:12:00 PM,2967,2968,2967,2967.75,2971.64342372817,0,0,0,0,0,0,0
24,5/20/2020 4:15:00 PM,2968,2968,2967.5,2967.5,2971.57906961696,0,0,0,0,0,0,0
25,5/20/2020 4:18:00 PM,2967.75,2968,2965.5,2966.25,2971.51164697867,0,0,0,0,0,0,0
26,5/20/2020 4:21:00 PM,2966,2967,2965.5,2965.75,2971.42467760712,0,0,0,0,0,0,0
27,5/20/2020 4:24:00 PM,2965.75,2966.25,2965.25,2965.75,2971.33088128304,0,0,0,0,0,0,0
28,5/20/2020 4:27:00 PM,2965.75,2966.75,2965.75,2966.25,2971.23863531141,0,0,0,0,0,0,0
29,5/20/2020 4:30:00 PM,2966.5,2966.75,2965,2966,2971.15617852941,0,0,0,0,0,0,0
30,5/20/2020 4:33:00 PM,2966,2966.75,2965.25,2965.25,2971.07095243801,0,0,0,0,0,0,0
31,5/20/2020 4:36:00 PM,2965.5,2965.75,2965,2965.5,2970.97473834813,0,0,0,0,0,0,0
32,5/20/2020 4:39:00 PM,2965.25,2966,2964.25,2965.25,2970.88424680518,0,0,0,0,0,0,0
33,5/20/2020 4:42:00 PM,2965.5,2965.75,2964.75,2965,2970.79111875882,0,0,0,0,0,0,0
34,5/20/2020 4:45:00 PM,2964.75,2966.25,2964.75,2965.5,2970.6953977876,0,0,0,0,0,0,0
35,5/20/2020 4:48:00 PM,2965.5,2966.5,2965.25,2966,2970.609523444,0,0,0,0,0,0,0
36,5/20/2020 4:51:00 PM,2966,2966,2964,2964.75,2970.53333297385,0,0,0,0,0,0,0
37,5/20/2020 4:54:00 PM,2964.5,2965,2964.25,2964.75,2970.43774069329,0,0,0,0,0,0,0
38,5/20/2020 4:57:00 PM,2965,2965.75,2964.25,2964.25,2970.34372845043,0,0,0,0,0,0,0
39,5/20/2020 5:00:00 PM,2964.5,2965.25,2964,2964.25,2970.24300566613,0,0,0,0,0,0,0
40,5/20/2020 5:03:00 PM,2964,2964.5,2961.5,2962.25,2970.14394772123,0,0,0,0,0,0,0
41,5/20/2020 5:06:00 PM,2962,2963,2961,2962,2970.0134692465,0,0,0,0,0,0,0
42,5/20/2020 5:09:00 PM,2961.75,2962,2959.5,2960,2969.88101520937,0,0,0,0,0,0,0
43,5/20/2020 5:12:00 PM,2959.75,2960.5,2958.5,2958.5,2969.71769264392,0,0,0,0,0,0,0
44,5/20/2020 5:15:00 PM,2958.75,2960.5,2958.5,2960.5,2969.53227623659,0,0,0,0,0,0,0
45,5/20/2020 5:18:00 PM,2960.5,2961.25,2959,2959.5,2969.38298241449,0,0,0,0,0,0,0
46,5/20/2020 5:21:00 PM,2959.25,2960.5,2959.25,2960.25,2969.21962733326,0,0,0,0,0,0,0
47,5/20/2020 5:24:00 PM,2960.25,2960.5,2958.5,2958.75,2969.07136903023,0,0,0,0,0,0,0
48,5/20/2020 5:27:00 PM,2959,2959.5,2958,2959.5,2968.90076788924,0,0,0,0,0,0,0
49,5/20/2020 5:30:00 PM,2959.25,2960,2959.25,2959.5,2968.74538329603,0,0,0,0,0,0,0
50,5/20/2020 5:33:00 PM,2959.25,2961,2958.5,2960.5,2968.5925670432,0,0,0,0,0,0,0
51,5/20/2020 5:36:00 PM,2960.25,2961,2957.5,2958.5,2968.45880560447,0,0,0,0,0,0,0
52,5/20/2020 5:39:00 PM,2958.5,2961,2958.25,2960.75,2968.29419724737,0,0,0,0,0,0,0
53,5/20/2020 5:42:00 PM,2960.75,2962,2960.25,2962,2968.16949977221,0,0,0,0,0,0,0
54,5/20/2020 5:45:00 PM,2962,2962.5,2960.75,2962,2968.06752456936,0,0,0,0,0,0,0
55,5/20/2020 5:48:00 PM,2962,2962.5,2961.5,2962.25,2967.96723490706,0,0,0,0,0,0,0
56,5/20/2020 5:51:00 PM,2962.25,2963.25,2961.5,2962.75,2967.87273515653,0,0,0,0,0,0,0
57,5/20/2020 5:54:00 PM,2962.5,2963.75,2962.5,2963.5,2967.78806184816,0,0,0,0,0,0,0
58,5/20/2020 5:57:00 PM,2963.25,2963.5,2962.5,2962.75,2967.71718479282,0,0,0,0,0,0,0
59,5/20/2020 6:00:00 PM,2962.75,2963.5,2962.5,2963,2967.63508256484,0,0,0,0,0,0,0
60,5/20/2020 6:03:00 PM,2962.75,2963,2960.25,2960.5,2967.55846962988,0,0,0,0,0,0,0
61,5/20/2020 6:06:00 PM,2960.25,2960.25,2957.25,2958.25,2967.44180071038,0,0,0,0,0,0,0
62,5/20/2020 6:09:00 PM,2958.25,2960,2958,2959.25,2967.28987012012,0,0,0,0,0,0,0
63,5/20/2020 6:12:00 PM,2959.25,2960,2958.75,2959.5,2967.15697970492,0,0,0,0,0,0,0
64,5/20/2020 6:15:00 PM,2959.75,2961,2959.5,2959.75,2967.0304180569,0,0,0,0,0,0,0
65,5/20/2020 6:18:00 PM,2960,2960.5,2958.25,2959.75,2966.91008056836,0,0,0,0,0,0,0
66,5/20/2020 6:21:00 PM,2960,2961.25,2960,2960.5,2966.79173212921,0,0,0,0,0,0,0
67,5/20/2020 6:24:00 PM,2960.5,2960.75,2958.5,2960.5,2966.68773655683,0,0,0,0,0,0,0
68,5/20/2020 6:27:00 PM,2960.75,2961.75,2960,2961,2966.58545991952,0,0,0,0,0,0,0
69,5/20/2020 6:30:00 PM,2961.25,2961.5,2960.75,2961.25,2966.49313826796,0,0,0,0,0,0,0
70,5/20/2020 6:33:00 PM,2961,2961.5,2958.75,2959,2966.40647482552,0,0,0,0,0,0,0
71,5/20/2020 6:36:00 PM,2959,2959.75,2957.75,2958.75,2966.28405375402,0,0,0,0,0,0,0
72,5/20/2020 6:39:00 PM,2958.75,2959.75,2958.5,2959.25,2966.15952393991,0,0,0,0,0,0,0
73,5/20/2020 6:42:00 PM,2959.25,2959.5,2956.25,2957,2966.04531693263,0,0,0,0,0,0,0
74,5/20/2020 6:45:00 PM,2957,2957,2952.5,2953.5,2965.89580756185,0,0,0,0,0,0,0
75,5/20/2020 6:48:00 PM,2953.5,2954.25,2952.25,2954.25,2965.69091818066,0,0,0,0,0,0,0
76,5/20/2020 6:51:00 PM,2954.25,2954.75,2952.5,2953.5,2965.50181209503,0,0,0,0,0,0,0
77,5/20/2020 6:54:00 PM,2953.75,2954.75,2952.75,2953.25,2965.30343503561,0,0,0,0,0,0,0
78,5/20/2020 6:57:00 PM,2953.5,2953.75,2951.25,2952.25,2965.10420470444,0,0,0,0,0,0,0
79,5/20/2020 7:00:00 PM,2952.25,2952.5,2951,2951.5,2964.89173851098,0,0,0,0,0,0,0
80,5/20/2020 7:03:00 PM,2951.5,2953,2951,2952.75,2964.67038746121,0,0,0,0,0,0,0
81,5/20/2020 7:06:00 PM,2953,2953.75,2950.5,2950.5,2964.47335626351,0,0,0,0,0,0,0
82,5/20/2020 7:09:00 PM,2950.75,2951,2947.5,2948,2964.24239169717,0,0,0,0,0,0,0
83,5/20/2020 7:12:00 PM,2948,2948.5,2945.75,2948.25,2963.97392241292,0,0,0,0,0,0,0
84,5/20/2020 7:15:00 PM,2948.5,2948.75,2947.25,2948.5,2963.7140228689,0,0,0,0,0,0,0
85,5/20/2020 7:18:00 PM,2948.25,2949.25,2947,2948.5,2963.46255141652,0,0,0,0,0,0,0
86,5/20/2020 7:21:00 PM,2948.5,2948.5,2946.5,2948.25,2963.21523651708,0,0,0,0,0,0,0
87,5/20/2020 7:24:00 PM,2948,2949.25,2947.75,2949,2962.9678772358,0,0,0,0,0,0,0
88,5/20/2020 7:27:00 PM,2949,2949.75,2948.25,2949.25,2962.7370032319,0,0,0,0,0,0,0
89,5/20/2020 7:30:00 PM,2949,2949.25,2946.75,2946.75,2962.51407755865,0,0,0,0,0,0,0
90,5/20/2020 7:33:00 PM,2946.75,2949.5,2946,2949,2962.25351429322,0,0,0,0,0,0,0
91,5/20/2020 7:36:00 PM,2949,2949.5,2948.25,2948.5,2962.03444794126,0,0,0,0,0,0,0
92,5/20/2020 7:39:00 PM,2948.75,2949.25,2947.5,2949,2961.81073805794,0,0,0,0,0,0,0
93,5/20/2020 7:42:00 PM,2949,2949.25,2948.25,2949,2961.59899032144,0,0,0,0,0,0,0
94,5/20/2020 7:45:00 PM,2949,2949.75,2948,2949.75,2961.39074254754,0,0,0,0,0,0,0
95,5/20/2020 7:48:00 PM,2949.5,2951.5,2949.5,2951.25,2961.19833357981,0,0,0,0,0,0,0
96,5/20/2020 7:51:00 PM,2951,2951.75,2950.75,2951,2961.03389831403,0,0,0,0,0,0,0
97,5/20/2020 7:54:00 PM,2951.25,2952.75,2951.25,2952.75,2960.86804875512,0,0,0,0,0,0,0
98,5/20/2020 7:57:00 PM,2953,2953,2951.75,2952,2960.73386613107,0,0,0,0,0,0,0
99,5/20/2020 8:00:00 PM,2952,2952.5,2951.25,2951.75,2960.58950470741,0,0,0,0,0,0,0
100,5/20/2020 8:03:00 PM,2952,2952.5,2951.75,2952,2960.44339719159,0,0,0,0,0,0,0
101,5/20/2020 8:06:00 PM,2952,2952.5,2951.75,2952,2960.30383690743,0,0,0,0,0,0,0
102,5/20/2020 8:09:00 PM,2952.25,2952.25,2951,2951,2960.16658340483,0,0,0,0,0,0,0
103,5/20/2020 8:12:00 PM,2950.75,2951.25,2950.25,2950.5,2960.01506962954,0,0,0,0,0,0,0
104,5/20/2020 8:15:00 PM,2950.25,2953.75,2950.25,2953.5,2959.85779575137,0,0,0,0,0,0,0
105,5/20/2020 8:18:00 PM,2953.25,2953.5,2952,2952.75,2959.75270821829,0,0,0,0,0,0,0
106,5/20/2020 8:21:00 PM,2952.75,2953,2952,2952.5,2959.63696097501,0,0,0,0,0,0,0
107,5/20/2020 8:24:00 PM,2952.25,2953,2952.25,2952.25,2959.5189946779,0,0,0,0,0,0,0
108,5/20/2020 8:27:00 PM,2952.25,2952.75,2951.25,2952,2959.39884600554,0,0,0,0,0,0,0
109,5/20/2020 8:30:00 PM,2952,2953.5,2952,2952.25,2959.27655103024,0,0,0,0,0,0,0
110,5/20/2020 8:33:00 PM,2952.5,2953,2951,2951,2959.1604096909,0,0,0,0,0,0,0
111,5/20/2020 8:36:00 PM,2951,2951,2948.25,2949,2959.02552688609,0,0,0,0,0,0,0
112,5/20/2020 8:39:00 PM,2949,2949.5,2948.25,2949.5,2958.85981569789,0,0,0,0,0,0,0
113,5/20/2020 8:42:00 PM,2949.25,2949.5,2947.75,2949.25,2958.70510800041,0,0,0,0,0,0,0
114,5/20/2020 8:45:00 PM,2949.25,2950.25,2948.75,2949.5,2958.54882522354,0,0,0,0,0,0,0
115,5/20/2020 8:48:00 PM,2949.5,2950.75,2948.5,2949,2958.39925786447,0,0,0,0,0,0,0
116,5/20/2020 8:51:00 PM,2949,2951.75,2949,2951.5,2958.24389823035,0,0,0,0,0,0,0
117,5/20/2020 8:54:00 PM,2951.5,2951.75,2950.75,2951.75,2958.13242883811,0,0,0,0,0,0,0
118,5/20/2020 8:57:00 PM,2951.5,2951.75,2951,2951.75,2958.02693414657,0,0,0,0,0,0,0
119,5/20/2020 9:00:00 PM,2951.5,2951.75,2950.25,2951.25,2957.92318316895,0,0,0,0,0,0,0
120,5/20/2020 9:03:00 PM,2951.5,2951.75,2949.25,2950,2957.8128826207,0,0,0,0,0,0,0
121,5/20/2020 9:06:00 PM,2950,2950,2948.5,2949.75,2957.68374406498,0,0,0,0,0,0,0
122,5/20/2020 9:09:00 PM,2949.5,2949.5,2948.25,2948.75,2957.55260779945,0,0,0,0,0,0,0
123,5/20/2020 9:12:00 PM,2948.75,2951.5,2948.75,2951.25,2957.40711014987,0,0,0,0,0,0,0
124,5/20/2020 9:15:00 PM,2951.25,2951.5,2950.5,2950.75,2957.30533973417,0,0,0,0,0,0,0
125,5/20/2020 9:18:00 PM,2951,2953,2951,2952.75,2957.19698701129,0,0,0,0,0,0,0
126,5/20/2020 9:21:00 PM,2952.75,2953.25,2952.25,2952.75,2957.12348309375,0,0,0,0,0,0,0
127,5/20/2020 9:24:00 PM,2952.75,2952.75,2952,2952.75,2957.05119411699,0,0,0,0,0,0,0
128,5/20/2020 9:27:00 PM,2953,2953.5,2951.75,2952,2956.98009999936,0,0,0,0,0,0,0
129,5/20/2020 9:30:00 PM,2952,2952.5,2951.5,2952.25,2956.89778429689,0,0,0,0,0,0,0
130,5/20/2020 9:33:00 PM,2952.5,2954.5,2952.5,2954,2956.82096141595,0,0,0,0,0,0,0
131,5/20/2020 9:36:00 PM,2954,2954.5,2953.75,2954.25,2956.77433395453,0,0,0,0,0,0,0
132,5/20/2020 9:39:00 PM,2954.25,2954.75,2954,2954,2956.73260942635,0,0,0,0,0,0,0
133,5/20/2020 9:42:00 PM,2954.25,2954.25,2954,2954,2956.6874423284,0,0,0,0,0,0,0
134,5/20/2020 9:45:00 PM,2953.75,2954,2952.75,2952.75,2956.64302179404,0,0,0,0,0,0,0
135,5/20/2020 9:48:00 PM,2953,2953.75,2953,2953.25,2956.57867432637,0,0,0,0,0,0,0
136,5/20/2020 9:51:00 PM,2953,2953,2952,2952.5,2956.52365491602,0,0,0,0,0,0,0
137,5/20/2020 9:54:00 PM,2952.5,2954,2952.5,2953.75,2956.45714822319,0,0,0,0,0,0,0
138,5/20/2020 9:57:00 PM,2953.5,2956,2953.5,2955.25,2956.41240197157,0,0,0,0,0,0,0
139,5/20/2020 10:00:00 PM,2955.25,2955.5,2954.5,2955,2956.39318871584,0,0,0,0,0,0,0
140,5/20/2020 10:03:00 PM,2955.25,2956.5,2954.25,2956.5,2956.37016080318,0,0,0,0,0,0,0
141,5/20/2020 10:06:00 PM,2956.25,2957.5,2956.25,2956.5,2956.37230690561,0,0,0,0,0,0,0
142,5/20/2020 10:09:00 PM,2956.5,2957.25,2956.25,2956.25,2956.37441753527,0,0,0,0,0,0,0
143,5/20/2020 10:12:00 PM,2956,2956.5,2955.25,2956,2956.37236104709,0,0,0,0,0,0,0
144,5/20/2020 10:15:00 PM,2956,2956.25,2955.5,2955.75,2956.36620631903,0,0,0,0,0,0,0
145,5/20/2020 10:18:00 PM,2955.75,2956,2955.25,2955.75,2956.35602109062,0,0,0,0,0,0,0
146,5/20/2020 10:21:00 PM,2955.5,2956.25,2955.5,2955.75,2956.34600421309,0,0,0,0,0,0,0
147,5/20/2020 10:24:00 PM,2955.5,2957,2955.5,2955.5,2956.33615290378,0,0,0,0,0,0,0
148,5/20/2020 10:27:00 PM,2955.5,2956,2955.25,2955.25,2956.32233219463,0,0,0,0,0,0,0
149,5/20/2020 10:30:00 PM,2955.25,2955.5,2954.25,2954.25,2956.30460769554,0,0,0,0,0,0,0
150,5/20/2020 10:33:00 PM,2954.25,2956,2954.25,2956,2956.27064723777,0,0,0,0,0,0,0
151,5/20/2020 10:36:00 PM,2955.75,2957.25,2955.75,2956,2956.2661737297,0,0,0,0,0,0,0
152,5/20/2020 10:39:00 PM,2955.75,2955.75,2954.5,2954.75,2956.26177416392,0,0,0,0,0,0,0
153,5/20/2020 10:42:00 PM,2954.5,2955,2952.5,2953.25,2956.23678616122,0,0,0,0,0,0,0
154,5/20/2020 10:45:00 PM,2953.25,2953.25,2952,2952.5,2956.18741779491,0,0,0,0,0,0,0
155,5/20/2020 10:48:00 PM,2952.5,2952.5,2950.25,2951,2956.12646874045,0,0,0,0,0,0,0
156,5/20/2020 10:51:00 PM,2951.25,2952.5,2951.25,2952,2956.04173371995,0,0,0,0,0,0,0
157,5/20/2020 10:54:00 PM,2952,2952.25,2950.5,2951,2955.97492820392,0,0,0,0,0,0,0
158,5/20/2020 10:57:00 PM,2951.25,2952.25,2950.5,2951.5,2955.89269798567,0,0,0,0,0,0,0
159,5/20/2020 11:00:00 PM,2951.75,2952.75,2951.25,2951.25,2955.8200914074,0,0,0,0,0,0,0
160,5/20/2020 11:03:00 PM,2951.5,2953,2948.5,2953,2955.74455270645,0,0,0,0,0,0,0
161,5/20/2020 11:06:00 PM,2953,2953.5,2951,2952.5,2955.6991881989,0,0,0,0,0,0,0
162,5/20/2020 11:09:00 PM,2952.25,2952.5,2949.75,2950.5,2955.64630905512,0,0,0,0,0,0,0
163,5/20/2020 11:12:00 PM,2950.25,2951.5,2949.25,2951.25,2955.56124609553,0,0,0,0,0,0,0
164,5/20/2020 11:15:00 PM,2951,2952,2950.75,2951.5,2955.48998582949,0,0,0,0,0,0,0
165,5/20/2020 11:18:00 PM,2951.5,2953,2951,2952.25,2955.42403565049,0,0,0,0,0,0,0
166,5/20/2020 11:21:00 PM,2952.25,2952.25,2950.25,2951.75,2955.37157225131,0,0,0,0,0,0,0
167,5/20/2020 11:24:00 PM,2951.75,2952,2951,2951.25,2955.31171155294,0,0,0,0,0,0,0
168,5/20/2020 11:27:00 PM,2951.25,2951.25,2948.75,2949,2955.24457582479,0,0,0,0,0,0,0
169,5/20/2020 11:30:00 PM,2949,2950,2948.75,2949.5,2955.14135969546,0,0,0,0,0,0,0
170,5/20/2020 11:33:00 PM,2949.5,2949.75,2947.75,2949.75,2955.04811408066,0,0,0,0,0,0,0
171,5/20/2020 11:36:00 PM,2949.75,2950,2949,2949.5,2954.96054194709,0,0,0,0,0,0,0
172,5/20/2020 11:39:00 PM,2949.75,2950,2948.75,2948.75,2954.8702850554,0,0,0,0,0,0,0
