localDate,instrument,barValue,barType,daysLoaded,LookbackSetting,LookbackSources,SwingStrength,VolOffSetCheck,VolOffsetRatio
2020061921,NQ 06-20,60,60 Minute,180,7142128,daysAgo,5,True,1.5
CurrentBar,Time,Open,High,Low,Close,TrendPlot,BarsToNextSignal,BarsFromPreviousSignal,SignalPattern,BuySignalStopLine,SellSignalStopLine,DotPrice,OpenPrice
3,12/22/2019 7:00:00 PM,8711.75,8713,8708.75,8709,8712.69689570385,0,0,0,0,0,0,0
4,12/22/2019 8:00:00 PM,8709,8711.5,8708.5,8710.25,8712.63578998974,0,0,0,0,0,0,0
5,12/22/2019 9:00:00 PM,8710.25,8711,8709,8710,8712.59635544445,0,0,0,0,0,0,0
6,12/22/2019 10:00:00 PM,8709.75,8710,8708,8709,8712.55344047843,0,0,0,0,0,0,0
7,12/22/2019 11:00:00 PM,8709,8709.25,8703,8704.25,8712.49470592507,0,0,0,0,0,0,0
8,12/23/2019 12:00:00 AM,8704.5,8706,8703.25,8705.25,8712.35842979407,0,0,0,0,0,0,0
9,12/23/2019 1:00:00 AM,8705.5,8709.25,8703.75,8706.75,8712.24093508673,0,0,0,0,0,0,0
10,12/23/2019 2:00:00 AM,8706.5,8710.75,8704.75,8709.5,8712.1501758291,0,0,0,0,0,0,0
11,12/23/2019 3:00:00 AM,8709.25,8713.5,8708.5,8710,8712.10637126995,0,0,0,0,0,0,0
12,12/23/2019 4:00:00 AM,8710.25,8720,8710,8718.5,8712.0715552159,0,0,0,0,0,0,0
13,12/23/2019 5:00:00 AM,8718.25,8733,8717.25,8724.25,8712.17781050158,0,0,0,0,0,0,0
14,12/23/2019 6:00:00 AM,8724.5,8733.75,8723.5,8727.75,8712.37735082387,0,0,0,0,0,0,0
15,12/23/2019 7:00:00 AM,8727.75,8728.75,8713.25,8716.75,8712.63144419869,0,0,0,0,0,0,0
16,12/23/2019 8:00:00 AM,8717,8723.25,8711,8722.5,8712.69951950119,0,0,0,0,0,0,0
17,12/23/2019 9:00:00 AM,8722.25,8727,8719,8726,8712.86151091439,0,0,0,0,0,0,0
18,12/23/2019 10:00:00 AM,8726.25,8727.25,8717.75,8719,8713.07867602324,0,0,0,0,0,0,0
19,12/23/2019 11:00:00 AM,8718.75,8722.5,8717.25,8717.75,8713.17654914683,0,0,0,0,0,0,0
20,12/23/2019 12:00:00 PM,8718,8723,8717.5,8720,8713.25214337581,0,0,0,0,0,0,0
21,12/23/2019 1:00:00 PM,8720,8720.75,8707,8712,8713.36367819604,0,0,0,0,0,0,0
22,12/23/2019 2:00:00 PM,8712,8720,8711.75,8719.25,8713.34113806057,0,0,0,0,0,0,0
23,12/23/2019 4:00:00 PM,8718.75,8721.75,8716.75,8719.5,8713.43880520007,0,0,0,0,0,0,0
24,12/23/2019 5:00:00 PM,8719.25,8719.75,8711.75,8713.25,8713.53899023808,0,0,0,0,0,0,0
25,12/23/2019 6:00:00 PM,8713.25,8714.5,8708.75,8710.25,8713.53421353993,0,0,0,0,0,0,0
26,12/23/2019 7:00:00 PM,8710.5,8714,8708.5,8712.75,8713.47992901861,0,0,0,0,0,0,0
27,12/23/2019 8:00:00 PM,8712.75,8714.75,8710.5,8712,8713.46786407616,0,0,0,0,0,0,0
28,12/23/2019 9:00:00 PM,8712.25,8714.5,8712,8713.25,8713.44360186002,0,0,0,0,0,0,0
29,12/23/2019 10:00:00 PM,8713.5,8717,8713,8716.75,8713.44040182928,0,0,0,0,0,0,0
30,12/23/2019 11:00:00 PM,8716.75,8717.75,8714.5,8717,8713.49510593128,0,0,0,0,0,0,0
