localDate,instrument,barValue,barType,daysLoaded,LookbackSetting,LookbackSources,SwingStrength,VolOffSetCheck,VolOffsetRatio
2020062020,USDCAD,3,3 Minute,28,12345etc,TradingDays,5,True,1.5
CurrentBar,Time,Open,High,Low,Close,TrendPlot,BarsToNextSignal,BarsFromPreviousSignal,SignalPattern,BuySignalStopLine,SellSignalStopLine,DotPrice,OpenPrice
3,5/24/2020 2:27:00 PM,1.3996,1.3996,1.3996,1.3996,1.39925903626801,0,0,0,0,0,0,0
4,5/24/2020 2:30:00 PM,1.3996,1.3997,1.3996,1.3996,1.39926467203218,0,0,0,0,0,0,0
5,5/24/2020 2:33:00 PM,1.3996,1.39965,1.3995,1.39965,1.39927021464322,0,0,0,0,0,0,0
6,5/24/2020 2:36:00 PM,1.39965,1.39965,1.39945,1.39955,1.39927649208713,0,0,0,0,0,0,0
7,5/24/2020 2:39:00 PM,1.39955,1.39955,1.39955,1.39955,1.39928101287908,0,0,0,0,0,0,0
8,5/24/2020 2:42:00 PM,1.39955,1.3996,1.39955,1.39955,1.39928545894719,0,0,0,0,0,0,0
9,5/24/2020 2:45:00 PM,1.39955,1.3996,1.39955,1.39955,1.39928983152658,0,0,0,0,0,0,0
10,5/24/2020 2:48:00 PM,1.39955,1.39955,1.39945,1.39955,1.39929413183193,0,0,0,0,0,0,0
11,5/24/2020 2:51:00 PM,1.39955,1.39955,1.3994,1.3994,1.39929836105784,0,0,0,0,0,0,0
12,5/24/2020 2:54:00 PM,1.3994,1.3994,1.3994,1.3994,1.39930004104036,0,0,0,0,0,0,0
13,5/24/2020 2:57:00 PM,1.3994,1.3994,1.3994,1.3994,1.39930169325457,0,0,0,0,0,0,0
14,5/24/2020 3:00:00 PM,1.3994,1.3994,1.3994,1.3994,1.39930331815945,0,0,0,0,0,0,0
15,5/24/2020 3:03:00 PM,1.3994,1.3997,1.3994,1.3997,1.3993049162064,0,0,0,0,0,0,0
16,5/24/2020 3:06:00 PM,1.3997,1.39975,1.3993,1.39965,1.39931144651704,0,0,0,0,0,0,0
17,5/24/2020 3:09:00 PM,1.39965,1.3999,1.39965,1.39985,1.39931704244238,0,0,0,0,0,0,0
18,5/24/2020 3:12:00 PM,1.39985,1.3999,1.39975,1.39975,1.39932585165821,0,0,0,0,0,0,0
19,5/24/2020 3:15:00 PM,1.39975,1.4003,1.39975,1.40005,1.3993328623746,0,0,0,0,0,0,0
20,5/24/2020 3:18:00 PM,1.40005,1.40005,1.39965,1.39965,1.39934471588907,0,0,0,0,0,0,0
21,5/24/2020 3:21:00 PM,1.39965,1.3997,1.3994,1.39955,1.39934976190743,0,0,0,0,0,0,0
22,5/24/2020 3:24:00 PM,1.39955,1.39965,1.3994,1.39955,1.39935307162797,0,0,0,0,0,0,0
23,5/24/2020 3:27:00 PM,1.39955,1.3997,1.39945,1.39945,1.39935632664239,0,0,0,0,0,0,0
24,5/24/2020 3:30:00 PM,1.39945,1.39955,1.39935,1.3994,1.39935787496235,0,0,0,0,0,0,0
25,5/24/2020 3:33:00 PM,1.3994,1.3996,1.3994,1.3996,1.39935857124396,0,0,0,0,0,0,0
26,5/24/2020 3:36:00 PM,1.3996,1.39965,1.39945,1.39945,1.39936256180191,0,0,0,0,0,0,0
27,5/24/2020 3:39:00 PM,1.39945,1.3996,1.3994,1.3996,1.39936400706138,0,0,0,0,0,0,0
28,5/24/2020 3:42:00 PM,1.3996,1.39965,1.39935,1.3995,1.39936790777111,0,0,0,0,0,0,0
29,5/24/2020 3:45:00 PM,1.3995,1.3995,1.39915,1.39915,1.39937009111374,0,0,0,0,0,0,0
30,5/24/2020 3:48:00 PM,1.39915,1.3992,1.39865,1.3988,1.39936645324409,0,0,0,0,0,0,0
31,5/24/2020 3:51:00 PM,1.3988,1.39885,1.39855,1.3986,1.39935709038055,0,0,0,0,0,0,0
32,5/24/2020 3:54:00 PM,1.3986,1.3986,1.3982,1.39845,1.39934457648996,0,0,0,0,0,0,0
33,5/24/2020 3:57:00 PM,1.39845,1.39865,1.3984,1.39845,1.3993297901017,0,0,0,0,0,0,0
34,5/24/2020 4:00:00 PM,1.39845,1.3988,1.3984,1.3988,1.39931524811655,0,0,0,0,0,0,0
35,5/24/2020 4:03:00 PM,1.3988,1.3988,1.39855,1.39875,1.39930673161875,0,0,0,0,0,0,0
36,5/24/2020 4:06:00 PM,1.39875,1.39875,1.39845,1.3986,1.39929752944324,0,0,0,0,0,0,0
37,5/24/2020 4:09:00 PM,1.3986,1.39875,1.3984,1.3985,1.39928600003095,0,0,0,0,0,0,0
38,5/24/2020 4:12:00 PM,1.3985,1.3985,1.39835,1.3984,1.3992730082949,0,0,0,0,0,0,0
39,5/24/2020 4:15:00 PM,1.3984,1.39865,1.3984,1.39865,1.39925857840573,0,0,0,0,0,0,0
40,5/24/2020 4:18:00 PM,1.39865,1.39875,1.3986,1.39875,1.39924851925853,0,0,0,0,0,0,0
41,5/24/2020 4:21:00 PM,1.39875,1.3989,1.39875,1.3988,1.39924027927079,0,0,0,0,0,0,0
42,5/24/2020 4:24:00 PM,1.3988,1.39885,1.3985,1.3987,1.39923300192747,0,0,0,0,0,0,0
43,5/24/2020 4:27:00 PM,1.3987,1.3988,1.39855,1.39875,1.39922419197825,0,0,0,0,0,0,0
44,5/24/2020 4:30:00 PM,1.39875,1.3988,1.3986,1.39875,1.39921635409431,0,0,0,0,0,0,0
45,5/24/2020 4:33:00 PM,1.39875,1.39895,1.39865,1.39875,1.39920864576218,0,0,0,0,0,0,0
46,5/24/2020 4:36:00 PM,1.39875,1.39885,1.39865,1.39885,1.39920106484049,0,0,0,0,0,0,0
47,5/24/2020 4:39:00 PM,1.39885,1.39885,1.39865,1.39875,1.39919526211585,0,0,0,0,0,0,0
48,5/24/2020 4:42:00 PM,1.39875,1.3988,1.3985,1.3986,1.39918790241146,0,0,0,0,0,0,0
49,5/24/2020 4:45:00 PM,1.3986,1.3988,1.3985,1.3986,1.39917818501623,0,0,0,0,0,0,0
50,5/24/2020 4:48:00 PM,1.3986,1.39875,1.3985,1.3987,1.3991686282391,0,0,0,0,0,0,0
51,5/24/2020 4:51:00 PM,1.3987,1.3987,1.3985,1.3985,1.39916088231779,0,0,0,0,0,0,0
52,5/24/2020 4:54:00 PM,1.3985,1.3985,1.39825,1.3983,1.39914995864312,0,0,0,0,0,0,0
53,5/24/2020 4:57:00 PM,1.3983,1.3985,1.3983,1.39845,1.39913590973993,0,0,0,0,0,0,0
54,5/24/2020 5:00:00 PM,1.39845,1.3986,1.3984,1.39855,1.39912457238885,0,0,0,0,0,0,0
